id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2023-404548,2023-01-20,1,Vente,255000.00,27,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,79,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.6411050,44.8555340,000BO
2023-404548,2023-01-20,1,Vente,255000.00,21,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,44,,,,,,,,,,1,2,Appartement,64.00,3,,,,,,-0.6411050,44.8555340,000BO
2023-404819,2023-01-27,1,Vente,184200.00,21,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,37,,,,,,,,,,1,2,Appartement,47.00,2,,,,,,-0.6411050,44.8555340,000BO
2023-404819,2023-01-27,1,Vente,184200.00,27,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,71,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.6411050,44.8555340,000BO
2023-407914,2023-04-06,1,Vente,20000.00,21,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,113,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.6411050,44.8555340,000BO
2023-410821,2023-06-23,1,Vente,31000.00,21,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,113,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.6411050,44.8555340,000BO
2021-503480,2021-01-11,1,Vente,239000.00,27,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,83,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.6411050,44.8555340,000BO
2021-503480,2021-01-11,1,Vente,239000.00,19,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,49,,,,,,,,,,1,2,Appartement,63.00,3,,,,,,-0.6411050,44.8555340,000BO
2021-503480,2021-01-11,1,Vente,239000.00,17,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,152,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.6411050,44.8555340,000BO
2021-503827,2021-01-29,1,Vente,185000.00,17,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,146,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.6411050,44.8555340,000BO
2021-503827,2021-01-29,1,Vente,185000.00,19,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,51,45.67,,,,,,,,,1,2,Appartement,45.00,2,,,,,,-0.6411050,44.8555340,000BO
2021-515373,2021-08-19,1,Vente,20000.00,21,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,169,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.6411050,44.8555340,000BO
2021-515374,2021-08-19,1,Vente,232050.00,23,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,32,62.84,,,,,,,,,1,2,Appartement,63.00,3,,,,,,-0.6411050,44.8555340,000BO
2021-515374,2021-08-19,1,Vente,232050.00,27,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,75,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.6411050,44.8555340,000BO
2021-519946,2021-11-23,1,Vente,195000.00,15,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,1,46.51,,,,,,,,,1,2,Appartement,46.00,2,,,,,,-0.6411050,44.8555340,000BO
2021-519946,2021-11-23,1,Vente,195000.00,27,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,89,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.6411050,44.8555340,000BO
2022-497556,2022-02-25,1,Vente,200000.00,15,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,6,47.13,,,,,,,,,1,2,Appartement,47.00,2,,,,,,-0.6411050,44.8555340,000BO
2022-497556,2022-02-25,1,Vente,200000.00,27,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,73,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.6411050,44.8555340,000BO
2022-501900,2022-05-19,1,Vente,245000.00,27,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,99,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.6411050,44.8555340,000BO
2022-501900,2022-05-19,1,Vente,245000.00,15,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,13,,,,,,,,,,1,2,Appartement,62.00,3,,,,,,-0.6411050,44.8555340,000BO
2020-433474,2020-01-24,1,Vente,264000.00,27,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,87,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.6411050,44.8555340,000BO
2020-433474,2020-01-24,1,Vente,264000.00,17,,"AV HENRI BARBUSSE",1310,33700,33281,Mérignac,33,,,33281000BO0529,,,58,63.20,,,,,,,,,1,2,Appartement,63.00,3,,,,,,-0.6411050,44.8555340,000BO
